DateTime,AddedIPs,RemovedIPs
1538707923,7,0
1538708524,1,0
1538709724,10,0
1538710323,22,1
1538710924,12,0
1538711522,9,0
1538712123,6,0
1538712723,9,0
1538713324,8,0
1538713923,4,0
1538714524,13,0
1538715124,6,0
1538715723,7,0
1538716924,2,0
1538717527,8,0
1538718124,16,0
1538719323,16,0
1538719923,8,0
1538720524,6,0
1538721124,4,0
1538721724,10,0
1538722323,7,0
1538722924,3,0
1538723524,8,0
1538724125,11,1
1538725323,4,0
1538726523,3,2
1538727723,5,0
1538728325,2,0
1538728924,12,0
1538730124,11,0
1538730723,5,0
1538731324,3,0
1538731924,5,0
1538733124,5,0
1538733724,4,0
1538734323,5,0
1538734923,6,1
1538735524,1,0
1538736124,4,0
1538737323,6,0
1538737923,8,0
1538738524,9,0
1538739123,2,0
1538739723,4,0
1538740324,15,0
1538740924,2,0
1538742123,6,0
1538742723,4,0
1538743323,2,0
1538743923,1,0
1538744525,8,1
1538745124,8,0
1538745723,4,0
1538746323,4,0
1538746924,4,0
1538747524,4,0
1538748124,6,1
1538748724,1,0
1538749324,4,0
1538749923,2,0
1538750524,7,0
1538751124,3,0
1538751724,6,0
1538752924,3,0
1538754124,3,0
1538755324,4,0
1538755924,4,0
1538756523,1,0
1538757723,2,0
1538758324,4,0
1538758925,9,0
1538759524,2,0
1538760123,6,0
1538761324,3,0
1538762525,1,0
1538763125,5,0
1538763725,10,0
1538764324,2,0
1538764924,4,0
1538765524,9,0
1538766125,2,0
1538766724,9,0
1538767325,2,0
1538767924,3,0
1538768524,4,0
1538769123,5,0
1538769724,8,0
1538771526,11,0
1538772124,2,0
1538772725,2,0
1538774524,4,0
1538775125,3,0
1538775724,4,0
1538776324,5,1
1538776924,6,0
1538778124,1,1
1538779324,2,0
1538779925,3,0
1538780524,1,0
1538781125,7,0
1538781725,4,0
1538782924,20,0
1538783524,4,0
1538784129,1,1
1538784725,14,0
1538785323,4,0
1538785924,1,0
1538786525,1,0
1538787123,72,0
1538787725,5,0
1538788326,5,0
1538788924,6,0
1538790124,4,1
1538790724,10,0
1538792524,12,0
1538793123,6,0
1538793723,2,0
1538794324,1,0
1538794925,3,0
1538795526,5,0
1538796124,6,0
1538796725,2,1
1538797324,5,0
1538797924,13,0
1538798524,14,1
1538799125,1,0
1538799723,11,0
1538800324,8,0
1538800924,0,1
1538802124,8,0
1538802723,1,0
1538803324,5,0
1538803925,1,0
1538804523,3,0
1538805123,23,0
1538805723,31,0
1538806924,21,1
1538807523,1,0
1538808123,22,1
1538808724,7,0
1538809323,11,0
1538809924,3,0
1538810523,2,0
1538811124,5,0
1538811723,15,0
1538812323,8,0
1538812924,32,0
1538813525,4,0
1538814123,120,0
1538814724,15,0
1538815323,3,0
1538816523,7,1
1538817124,14,0
1538817723,24,0
1538818923,28,0
1538819524,7,0
1538820123,7,0
1538821324,24,0
1538822524,16,0
1538823724,5,1
1538824324,7,0
1538824924,2,0
1538826124,11,0
1538826723,21,0
1538827324,7,0
1538828523,13,1
1538829124,10,0
1538829724,4,3
1538830924,9,0
1538831526,10,0
1538832123,7,0
1538832723,3,0
1538833324,14,0
1538833923,11,0
1538834524,7,0
1538835124,7,0
1538835725,13,0
1538836923,5,0
1538838127,10,0
1538838723,8,0
1538839323,1,0
1538839923,6,0
1538840526,9,0
1538841724,16,0
1538842325,11,0
1538842924,9,0
1538843523,2,0
1538844123,4,0
1538844724,7,0
1538845324,4,0
1538845923,2,0
1538846523,2,0
1538847123,5,0
1538847723,8,0
1538848923,5,0
1538849525,6,0
1538850124,5,0
1538851324,17,0
1538851923,7,0
1538852523,5,0
1538853723,10,0
1538854323,10,0
1538854923,11,0
1538855523,5,0
1538856123,4,1
1538856723,3,0
1538857324,2,1
1538857924,7,0
1538858524,6,0
1538859124,1,0
1538859726,5,0
1538860923,6,0
1538861524,8,0
1538862124,5,0
1538863323,4,0
1538863924,10,0
1538864524,5,0
1538865723,7,0
1538866923,2,0
1538868124,3,0
1538868723,3,0
1538869323,9,0
1538870526,2,0
1538871125,11,0
1538871724,8,0
1538872323,12,0
1538872923,9,0
1538873523,5,0
1538874123,7,0
1538874724,2,0
1538875324,4,0
1538875924,1,0
1538876523,3,0
1538877123,2,0
1538877723,9,0
1538878324,5,0
1538878925,2,0
1538880123,10,0
1538880724,5,1
1538881323,28,0
1538881925,1,0
1538882523,20,0
1538883723,3,0
1538884924,5,0
1538885524,2,0
