DateTime,AddedIPs,RemovedIPs
1538112495,23,26
1538114437,30,19
1538116434,19,34
1538118263,26,19
1538120193,31,31
1538122098,21,28
1538124024,30,40
1538125953,21,35
1538127868,23,34
1538129799,26,1442
1538131940,34,68
1538133869,695,0
1538136059,42,61
1538137955,35,40
1538139862,29,30
1538141783,38,33
1538143699,26,25
1538145610,23,18
1538147539,27,24
1538149456,24,21
1538151384,40,20
1538153293,29,16
1538155217,30,16
1538157131,22,12
1538159052,26,20
1538160973,35,29
1538162891,31,17
1538164846,31,32
1538166748,22,30
1538168665,19,33
1538170582,44,52
1538172505,22,35
1538174435,25,48
1538176350,599,0
1538178259,16,30
1538180182,12,50
1538182094,13,34
1538184014,16,33
1538185950,17,23
1538187856,18,15
1538189795,22,26
1538191695,8,15
1538193635,16,22
1538195553,14,12
1538197477,13,13
1538199394,16,10
1538201315,22,18
1538203228,32,24
1538205147,19,22
1538207077,34,18
1538208982,37,25
1538210897,28,35
1538212820,34,41
1538214736,30,39
1538216653,22,1396
1538218590,47,39
1538220486,539,0
1538222459,46,24
1538224335,29,23
1538226256,21,18
1538228180,38,22
1538230096,21,17
1538232009,31,20
1538233933,24,24
1538235849,16,21
1538237778,36,23
1538239701,41,20
1538241615,49,26
1538243525,22,24
1538245452,23,20
1538247367,28,26
1538249289,20,24
1538251463,30,34
1538253386,19,27
1538255303,28,21
1538257211,39,23
1538259140,21,23
1538261056,12,22
1538262978,477,0
1538264893,23,19
1538266812,50,21
1538268732,40,17
1538270671,16,20
1538272577,13,13
1538274494,16,15
1538276440,14,20
1538278339,13,25
1538280160,9,23
1538282188,16,19
1538284111,21,21
1538286012,42,23
1538287933,53,21
1538289869,23,16
1538291785,16,29
1538293697,11,26
1538295634,12,23
1538297547,23,25
1538299470,15,19
1538301373,19,31
1538303317,13,1172
1538305247,524,0
1538307382,37,21
1538309314,23,15
1538311235,44,21
1538313137,42,18
1538315057,40,16
1538316993,27,18
1538318895,26,19
1538320831,20,12
1538322771,8,14
1538324663,23,14
1538326589,13,16
1538328489,33,19
1538330441,30,16
1538332352,41,30
1538334263,14,20
1538336190,38,21
1538338122,72,47
1538340031,39,28
1538341953,40,26
1538343852,31,29
1538345784,35,38
1538347693,20,28
1538349635,465,0
1538351534,33,13
1538353472,13,10
1538355370,26,18
1538357311,31,15
1538359241,34,14
1538361163,19,16
1538363074,22,16
1538364974,31,12
1538366913,24,13
1538368825,19,15
1538370996,29,19
1538372902,19,13
1538374842,27,20
1538376739,29,21
1538378664,18,19
1538380580,22,40
1538382493,25,30
1538384472,29,28
1538386350,24,28
1538388265,27,1187
1538390193,38,20
1538392116,504,0
1538394032,43,18
1538396233,27,46
1538398109,21,23
1538400033,29,32
1538401933,5,9
1538403854,6,19
1538405803,23,16
1538407939,43,17
1538410144,27,18
1538412030,10,14
1538413936,46,23
1538415876,43,40
1538417795,25,45
1538419716,28,23
1538421630,18,16
1538423555,36,10
1538425464,40,15
1538427407,29,23
1538429551,37,18
1538431479,21,17
1538433383,12,20
1538435317,450,0
1538437225,12,15
1538439152,28,36
1538441058,29,21
1538442989,22,34
1538444905,14,8
1538446838,12,19
1538448732,14,11
1538450671,6,16
1538452587,20,9
1538454512,12,11
1538456426,16,18
1538458351,17,41
1538460253,29,20
1538462184,33,49
1538464351,33,20
1538466258,21,12
1538468435,24,15
1538470354,34,21
1538472269,15,17
1538474174,23,16
1538476109,39,1335
1538478040,606,0
1538479952,39,31
1538482106,51,37
1538484012,36,10
1538485955,33,37
1538487862,18,24
1538489803,28,30
1538491704,19,17
1538493635,24,26
1538495556,24,24
1538497469,23,23
1538499386,22,31
1538501313,25,17
1538503237,16,32
1538505147,21,16
1538507065,20,23
1538509003,28,24
1538510901,21,21
1538512831,25,22
1538514981,18,31
1538516908,16,22
1538518833,23,39
1538520738,22,28
1538522667,536,0
1538524590,18,36
1538526494,13,12
1538528450,20,29
1538530341,16,22
1538532276,19,27
1538534426,32,19
1538536332,32,18
1538538251,17,22
1538540201,26,28
1538542240,29,25
1538544263,18,19
1538546189,20,29
1538548113,25,15
1538550040,21,25
1538551938,18,18
1538553863,21,21
1538555798,23,24
1538557721,20,22
1538559632,25,24
1538561550,15,1117
1538563459,27,30
1538565402,525,0
1538567317,43,13
1538569462,38,23
1538571371,41,43
1538573307,30,21
1538575220,35,23
1538577152,32,10
1538579067,25,16
1538580993,34,13
1538582953,27,22
1538584825,39,14
1538586740,36,17
1538588671,50,16
1538590586,60,26
1538592494,46,10
1538594656,72,37
1538596604,65,34
1538598496,46,14
1538600432,25,44
1538602341,24,9
1538604257,30,30
1538606189,35,33
1538608115,460,0
1538610017,20,10
1538611937,23,20
1538613869,21,24
1538616025,43,27
1538617932,27,17
1538619856,33,8
1538621789,25,17
1538623691,17,10
1538625637,18,23
1538627539,13,11
1538629603,26,17
1538631615,29,19
1538633786,48,24
1538635695,27,9
1538637613,17,34
1538639537,24,31
1538641457,23,13
1538643386,23,41
1538645292,21,10
1538647245,20,1154
1538649136,29,23
1538651064,529,0
1538652982,47,25
1538654910,40,18
1538657070,40,13
1538658981,33,18
1538660893,29,21
1538662810,31,28
1538664732,26,23
1538666653,30,36
1538668581,33,22
1538670491,22,30
1538672434,14,21
1538674341,39,23
1538676271,24,21
1538678182,29,27
1538680111,27,18
1538682015,34,20
1538683939,32,18
1538685868,17,24
1538687784,32,21
1538689695,33,26
1538691614,24,21
1538693538,21,26
1538695466,461,0
1538697882,29,18
1538699769,13,11
1538701706,26,12
1538703861,36,23
1538705792,32,25
1538707712,19,19
1538709616,40,37
1538711541,30,18
1538713471,19,24
1538715371,15,28
1538717308,14,16
1538719242,21,20
1538721141,24,21
1538723072,24,18
1538724966,24,16
1538726907,24,22
1538728812,20,26
1538730987,26,22
1538732894,19,23
1538734824,33,1469
1538736739,34,30
1538738653,581,0
1538740577,41,22
1538742510,24,17
1538744438,35,31
1538746343,18,35
1538748276,16,36
1538750415,27,38
1538752337,37,18
1538754273,31,16
1538756185,33,19
1538758336,26,20
1538760275,23,33
1538762172,25,26
1538764108,11,29
1538766044,21,33
1538767964,14,17
1538769864,21,22
1538771800,29,24
1538773702,22,27
1538775636,25,21
1538777556,16,24
1538779460,18,27
1538781391,534,0
1538783320,17,16
1538785226,17,23
1538787152,19,22
1538789105,31,35
1538791014,48,32
1538792920,43,27
1538794840,50,25
1538796742,28,16
1538798663,32,16
1538800602,32,16
1538802524,26,25
1538804561,13,30
1538806828,28,35
1538808756,18,31
1538810654,19,15
1538812593,22,21
1538814495,12,17
1538816435,21,33
1538818333,26,20
1538820257,25,1208
1538822201,27,41
1538824095,561,0
1538826013,36,26
1538827938,29,14
1538829869,33,16
1538831777,25,26
1538833951,29,33
1538835866,28,24
1538837771,40,24
1538839689,33,41
1538841619,41,27
1538843549,33,15
1538845458,36,11
1538847370,41,16
1538849318,28,20
1538851212,28,19
1538853137,22,32
1538855053,14,20
1538856981,20,21
1538858889,20,26
1538860829,31,27
1538862734,11,20
1538864666,14,26
1538866572,17,34
1538868488,486,0
1538870423,15,19
1538872350,18,10
1538874252,16,21
1538876172,18,28
1538878112,11,23
1538880017,12,21
1538881940,12,24
1538883860,23,35
1538885795,18,22
1538887713,10,10
1538889614,25,16
1538891535,12,20
1538893455,11,11
1538895378,16,28
1538897291,10,22
1538899233,26,24
1538901135,23,20
1538903056,31,16
1538904981,44,33
1538906910,19,1181
1538908811,29,27
1538910732,633,0
1538912655,30,13
1538914585,26,16
1538916496,23,18
1538918421,26,44
1538920351,23,40
1538922256,35,52
1538924186,28,51
1538926090,26,35
1538928043,29,40
1538929939,24,33
1538931863,18,27
1538933772,22,17
1538935950,46,21
1538937855,34,20
1538939788,34,23
1538941706,23,23
1538943616,41,20
1538945554,25,18
1538947469,30,22
1538949370,47,34
1538951309,25,20
1538953245,588,0
1538955154,24,14
1538957076,34,9
1538959727,38,22
1538961869,24,39
1538963791,27,38
1538965706,17,34
1538967629,17,48
1538969539,13,29
1538971459,20,33
1538973385,22,32
1538975296,21,27
1538977212,29,12
1538979143,30,18
1538981052,31,20
1538982990,33,22
1538984895,37,21
1538986814,39,17
1538988734,33,17
1538990658,35,22
1538992574,30,30
1538994495,39,1088
1538996475,473,0
1538998341,46,14
1539000270,33,17
1539002186,49,25
1539004113,45,15
1539006019,44,20
1539007931,27,11
1539009855,33,10
1539011788,33,15
1539013691,25,11
1539015625,23,16
1539017531,25,12
1539019456,20,24
1539021383,29,17
1539023288,30,12
1539025241,41,19
1539027143,33,13
1539029077,77,21
1539030979,60,33
1539033411,70,42
1539035294,51,30
1539037212,40,22
1539039153,44,25
1539041059,410,0
1539042987,36,15
1539044891,42,14
1539046841,35,14
1539048738,29,17
1539050662,30,14
1539052586,18,11
1539054502,20,9
1539056416,20,10
1539058344,19,11
1539060260,17,12
1539062189,18,21
1539064110,20,15
1539066259,33,11
1539068186,26,19
1539070093,16,12
1539072267,47,25
1539074185,47,31
1539076107,26,32
1539078014,29,33
1539079940,28,1348
