DateTime,Entries,UniqueIPs
1538629211,6808,6808
1538630111,7211,7211
1538631011,8085,8085
1538631911,8594,8594
1538632811,9087,9087
1538633710,9608,9608
1538634612,10149,10149
1538635512,10498,10498
1538636411,10813,10813
1538637311,11185,11185
1538638210,11603,11603
1538639112,12079,12079
1538640011,12501,12501
1538640912,12903,12903
1538641811,13412,13412
1538642711,13803,13803
1538643612,14169,14169
1538644511,14599,14599
1538645410,14845,14845
1538646310,14726,14726
1538647212,14823,14823
1538648110,15118,15118
1538649011,15288,15288
1538649910,15378,15378
1538650811,15401,15401
1538651710,13724,13724
1538652610,12447,12447
1538653513,10944,10944
1538654411,10375,10375
1538655309,9494,9494
1538656211,6424,6424
1538657109,6517,6517
1538658011,6940,6940
1538658912,6998,6998
1538659808,6348,6348
1538660708,5944,5944
1538661609,6158,6158
1538662509,6592,6592
1538663411,7016,7016
1538664309,7267,7267
1538665209,6853,6853
1538666111,7337,7337
1538667008,7715,7715
1538667907,7727,7727
1538668810,7929,7929
1538669711,8158,8158
1538670610,8517,8517
1538671510,8714,8714
1538672409,8982,8982
1538673309,9353,9353
1538674209,8749,8749
1538675109,8519,8519
1538676010,8690,8690
1538676909,8951,8951
1538677809,9189,9189
1538678709,9052,9052
1538679609,8809,8809
1538680509,8841,8841
1538681408,8947,8947
1538682308,9021,9021
1538683209,8913,8913
1538684108,9013,9013
1538685010,9518,9518
1538685909,9952,9952
1538686808,10150,10150
1538687708,10619,10619
1538688609,11119,11119
1538689509,11400,11400
1538690410,11662,11662
1538691308,11587,11587
1538692210,10898,10898
1538693110,10225,10225
1538694009,9647,9647
1538694909,8843,8843
1538695809,7183,7183
1538696709,3612,3612
1538697609,3663,3663
1538698510,3782,3782
1538699410,3569,3569
1538700311,3514,3514
1538701210,3440,3440
1538702111,3555,3555
1538703011,3894,3894
1538703912,4308,4308
1538704810,4757,4757
1538705724,5300,5300
1538706611,5918,5918
1538707511,6620,6620
1538708412,7330,7330
1538709310,8065,8065
1538710211,8932,8932
1538711111,9717,9717
1538712010,10557,10557
1538712910,11326,11326
1538713811,12061,12061
1538714710,12719,12719
1538715608,13310,13310
1538716509,13968,13968
1538717410,14588,14588
1538718310,15147,15147
1538719210,15698,15698
1538720110,16299,16299
1538721010,16967,16967
1538721910,17531,17531
1538722810,18057,18057
1538723709,18512,18512
1538724610,19070,19070
1538725510,19573,19573
1538726410,20010,20010
1538727310,20479,20479
1538728208,21031,21031
1538729109,21371,21371
1538730010,21735,21735
1538730909,22175,22175
1538731809,22647,22647
1538732709,22929,22929
1538733609,23293,23293
1538734509,23607,23607
1538735410,23770,23770
1538736308,23848,23848
1538737209,23775,23775
1538738109,23544,23544
1538739009,23489,23489
1538739908,23242,23242
1538740808,22918,22918
1538741707,22627,22627
1538742605,22252,22252
1538743506,22014,22014
1538744406,21572,21572
1538745304,21644,21644
1538746205,21653,21653
1538747105,21494,21494
1538748004,21622,21622
1538748906,21707,21707
1538749805,21889,21889
1538750704,22092,22092
1538751604,22195,22195
1538752504,22389,22389
1538753405,22588,22588
1538754304,22815,22815
1538755205,23094,23094
1538756104,23176,23176
1538757004,22773,22773
1538757904,21579,21579
1538758805,20002,20002
1538759705,17646,17646
1538760608,12092,12092
1538761507,9960,9960
1538762407,9493,9493
1538763306,8922,8922
1538764207,8505,8505
1538765107,8308,8308
1538766007,8221,8221
1538766908,8370,8370
1538767808,8747,8747
1538768707,9094,9094
1538769606,9326,9326
1538770507,9497,9497
1538771407,9696,9696
1538772308,9928,9928
1538773208,10277,10277
1538774107,10654,10654
1538775007,11114,11114
1538775907,11569,11569
1538776806,12128,12128
1538777707,12661,12661
1538778607,12780,12780
1538779507,12922,12922
1538780407,13117,13117
1538781308,13344,13344
1538782207,13546,13546
1538783106,13647,13647
1538784006,13733,13733
1538784905,13869,13869
1538785806,13976,13976
1538786706,14099,14099
1538787605,14199,14199
1538788507,14350,14350
1538789406,14478,14478
1538790307,14594,14594
1538791206,14723,14723
1538792105,14870,14870
1538793007,15040,15040
1538793906,15183,15183
1538794806,15363,15363
1538795706,15566,15566
1538796605,15781,15781
1538797505,16011,16011
1538798405,16229,16229
1538799305,16464,16464
1538800205,16769,16769
1538801105,17039,17039
1538802005,17304,17304
1538802905,17568,17568
1538803805,17890,17890
1538804704,17953,17953
1538805603,17666,17666
1538806504,17366,17366
1538807404,17065,17065
1538808303,16800,16800
1538809203,16518,16518
1538810103,16451,16451
1538811003,16124,16124
1538811903,15892,15892
1538812803,15657,15657
1538813703,15325,15325
1538814602,15286,15286
1538815502,15060,15060
1538816403,14963,14963
1538817303,14713,14713
1538818202,14503,14503
1538819102,14234,14234
1538820002,13958,13958
1538820902,13700,13700
1538821802,13439,13439
1538822702,13502,13502
1538823602,13613,13613
1538824502,13714,13714
1538825403,13688,13688
1538826302,13666,13666
1538827203,13812,13812
1538828102,13904,13904
1538829002,13981,13981
1538829902,14032,14032
1538830802,14056,14056
1538831702,14116,14116
1538832602,14074,14074
1538833502,14303,14303
1538834402,14346,14346
1538835303,14388,14388
1538836202,14429,14429
1538837102,14231,14231
1538838002,14226,14226
1538838902,14215,14215
1538839802,14309,14309
1538840703,14340,14340
1538841602,14305,14305
1538842502,14342,14342
1538843402,14295,14295
