DateTime,Entries,UniqueIPs
1538485450,4929,4929
1538485926,4930,4930
1538511365,4929,4929
1538511844,4930,4930
1538528885,4921,4921
1538529367,4928,4928
1538529845,4925,4925
1538530330,4924,4924
1538530805,4920,4920
1538531285,4921,4921
1538531769,4923,4923
1538532247,4922,4922
1538532725,4924,4924
1538533212,4925,4925
1538533687,4923,4923
1538534406,4929,4929
1538535128,4924,4924
1538535624,4923,4923
1538536085,4922,4922
1538536579,4921,4921
1538537045,4919,4919
1538537535,4922,4922
1538538008,4920,4920
1538538487,4923,4923
1538538965,4923,4923
1538539448,4922,4922
1538539925,4923,4923
1538540414,4920,4920
1538540888,4922,4922
1538541375,4924,4924
1538541848,4922,4922
1538542565,4925,4925
1538543049,4923,4923
1538543526,4927,4927
1538544006,4923,4923
1538544489,4924,4924
1538544968,4923,4923
1538545448,4926,4926
1538546166,4927,4927
1538546650,4927,4927
1538547126,4924,4924
1538547605,4926,4926
1538548089,4923,4923
1538548566,4924,4924
1538549046,4925,4925
1538549529,4925,4925
1538550024,4927,4927
1538550487,4923,4923
1538550969,4925,4925
1538551445,4924,4924
1538551926,4926,4926
1538552410,4922,4922
1538552890,4923,4923
1538553366,4922,4922
1538553850,4927,4927
1538554327,4927,4927
1538554805,4924,4924
1538555288,4928,4928
1538562007,4927,4927
1538562488,4928,4928
1538569925,4927,4927
1538570888,4928,4928
1538571845,4927,4927
1538572328,4928,4928
1538573291,4927,4927
1538573764,4928,4928
1538578564,4927,4927
1538579525,4928,4928
1538594166,4927,4927
1538594645,4928,4928
1538602325,4927,4927
1538602810,4928,4928
1538604246,4927,4927
1538604726,4928,4928
1538613365,4927,4927
1538613853,4928,4928
1538614566,4927,4927
1538615046,4925,4925
1538615528,4928,4928
1538616011,4923,4923
1538616485,4922,4922
1538616965,4916,4916
1538617446,4920,4920
1538617925,4922,4922
1538618414,4923,4923
1538618887,4928,4928
1538619365,4926,4926
1538619849,4926,4926
1538620327,4925,4925
1538620807,4925,4925
1538621288,4930,4930
1538621766,4929,4929
1538622246,4928,4928
1538622726,4927,4927
1538623205,4929,4929
1538623686,4929,4929
1538624164,4929,4929
1538624647,4926,4926
1538625130,4928,4928
1538625621,4931,4931
1538626086,4929,4929
1538626569,4931,4931
1538627049,4928,4928
1538627527,4926,4926
1538628004,4927,4927
1538628489,4927,4927
