DateTime,Entries,UniqueIPs
1538703124,89680,93580
1538703723,89646,93552
1538704324,89657,93564
1538704923,89619,93525
1538705523,89559,93465
1538706124,89574,93481
1538707324,89459,93362
1538707923,89391,93294
1538708524,89326,93229
1538709724,89238,93140
1538710323,89183,93084
1538710924,89123,93024
1538711522,89129,93031
1538712123,89137,93040
1538712723,89083,92984
1538713324,89029,92930
1538713923,89013,92914
1538714524,89034,92935
1538715723,88916,92815
1538716924,88698,92595
1538717527,88712,92609
1538718124,88723,92621
1538719323,88708,92603
1538719923,88719,92615
1538720524,88699,92594
1538721124,88710,92606
1538721724,88696,92590
1538722924,88630,92521
1538723524,88639,92530
1538724125,88593,92483
1538724723,88594,92484
1538725323,88602,92492
1538726523,88469,92354
1538727723,88472,92357
1538728924,88455,92340
1538730124,88439,92326
1538730723,88451,92338
1538731324,88453,92344
1538731924,88394,92285
1538732523,88396,92287
1538733124,88335,92228
1538733724,88273,92166
1538734323,88286,92180
1538734923,88164,92055
1538735524,88170,92061
1538736124,88111,92005
1538737323,88115,92009
1538737923,88128,92024
1538738524,88142,92039
1538739123,88083,91979
1538739723,87961,91856
1538740324,87912,91804
1538740924,87922,91814
1538742123,87760,91647
1538742723,87769,91656
1538743323,87707,91594
1538743923,87653,91540
1538744525,87596,91484
1538745124,87600,91490
1538745723,87547,91438
1538746323,87559,91450
1538746924,87567,91459
1538747524,87506,91398
1538748124,87439,91331
1538748724,87440,91332
1538749324,87386,91277
1538750524,87321,91211
1538751124,87260,91150
1538751724,87188,91079
1538752924,87198,91090
1538754124,87063,90954
1538755324,87055,90948
1538755924,87063,90957
1538756523,87061,90955
1538757723,86923,90817
1538758324,86942,90838
1538758925,86817,90708
1538759524,86823,90715
1538760123,86833,90727
1538761324,86835,90729
1538762525,86747,90639
1538763125,86681,90575
1538763725,86664,90561
1538764324,86671,90570
1538764924,86679,90578
1538765524,86612,90510
1538766125,86627,90528
1538766724,86619,90519
1538767325,86619,90520
1538767924,86595,90496
1538768524,86589,90490
1538769123,86599,90501
1538769724,86578,90482
1538770925,86558,90462
1538771526,86555,90460
1538772124,86560,90465
1538772725,86552,90458
1538773325,86544,90448
1538774524,86414,90316
1538775125,86424,90326
1538775724,86362,90259
1538776324,86306,90205
1538776924,86255,90153
1538778124,86264,90163
1538779324,86077,89973
1538779925,86084,89980
1538780524,86024,89918
1538781125,86036,89930
1538781725,86041,89935
1538782924,85924,89814
1538783524,85933,89824
1538784129,85873,89761
1538784725,85903,89791
1538785323,85848,89733
1538785924,85857,89745
1538786525,85861,89749
1538787725,85659,89541
1538788326,85671,89555
1538788924,85606,89490
1538790124,85548,89431
1538790724,85498,89381
1538792524,85287,89169
1538793123,85302,89184
1538793723,85240,89122
1538794925,85173,89052
1538795526,85110,88986
1538796124,85117,88993
1538796725,85065,88940
1538797324,85006,88880
1538797924,85028,88907
1538798524,84989,88867
1538799125,85002,88881
1538799723,84941,88817
1538800324,84882,88759
1538800924,84823,88699
1538802124,84770,88645
1538802723,84782,88658
1538803324,84716,88593
1538803925,84718,88595
1538804523,84704,88581
1538805123,84706,88583
1538805723,84743,88624
1538806924,84715,88596
1538807523,84714,88593
1538808123,84716,88598
1538808724,84724,88607
1538809323,84726,88612
1538809924,84734,88620
1538810523,84724,88609
1538811124,84734,88621
1538811723,84719,88606
1538812323,84730,88617
1538812924,84761,88649
1538813525,84761,88651
1538814123,84698,88588
1538814724,84704,88595
1538815323,84691,88581
1538816523,84676,88566
1538817124,84702,88596
1538817723,84715,88610
1538818923,84727,88622
1538819524,84712,88608
1538820123,84686,88582
1538821324,84718,88617
1538822524,84666,88565
1538823724,84630,88527
1538824324,84611,88504
1538824924,84605,88497
1538826124,84581,88474
1538826723,84586,88482
1538827324,84603,88501
1538828523,84593,88490
1538829124,84597,88495
1538829724,84585,88478
1538830924,84574,88462
1538831526,84577,88467
1538832123,84559,88448
1538833324,84519,88407
1538833923,84535,88426
1538834524,84543,88437
1538835124,84535,88423
1538835725,84560,88448
1538836923,84531,88414
1538838127,84529,88409
1538838723,84534,88414
1538839323,84540,88420
1538839923,84546,88428
1538840526,84540,88419
1538841724,84512,88390
1538842325,84535,88416
1538842924,84524,88402
1538844123,84472,88350
1538844724,84467,88346
1538845324,84467,88348
1538846523,84445,88322
1538847123,84454,88332
1538847723,84429,88313
1538848923,84406,88288
1538849525,84420,88303
1538850124,84386,88269
1538851324,84364,88247
1538851923,84333,88218
1538852523,84309,88192
1538853723,84319,88203
1538854323,84312,88196
1538854923,84294,88182
1538855523,84304,88192
1538856123,84280,88165
1538856723,84259,88145
1538857324,84251,88136
1538857924,84267,88152
1538858524,84258,88141
1538859124,84231,88112
1538859726,84253,88137
1538860324,84237,88121
1538860923,84214,88098
1538861524,84210,88094
1538862124,84220,88106
1538863323,84204,88089
1538863924,84201,88086
