DateTime,AddedIPs,RemovedIPs
1538703723,25,29
1538704324,31,0
1538704923,12,28
1538705523,11,0
1538706124,24,0
1538707324,22,49
1538707923,20,23
1538708524,14,15
1538709724,21,0
1538710323,28,54
1538710924,27,72
1538711522,18,51
1538712123,15,0
1538712723,33,40
1538713324,24,53
1538713923,20,0
1538714524,28,58
1538715723,16,30
1538716924,8,46
1538717527,28,0
1538718124,38,36
1538719323,25,63
1538719923,14,50
1538720524,22,0
1538721124,29,16
1538721724,19,36
1538722924,33,54
1538723524,19,59
1538724125,55,44
1538724723,4,0
1538725323,15,37
1538726523,17,60
1538727723,10,0
1538728924,24,55
1538730124,18,60
1538730723,21,26
1538731324,19,0
1538731924,17,33
1538732523,13,32
1538733124,23,18
1538733724,17,39
1538734323,23,0
1538734923,22,57
1538735524,14,0
1538736124,25,27
1538737323,14,0
1538737923,23,56
1538738524,19,28
1538739123,18,0
1538739723,20,55
1538740324,22,32
1538740924,23,0
1538742123,30,98
1538742723,26,28
1538743323,11,20
1538743923,9,0
1538744525,12,65
1538745124,16,29
1538745723,27,33
1538746323,18,0
1538746924,21,0
1538747524,21,42
1538748124,17,19
1538748724,8,30
1538749324,34,0
1538750524,14,34
1538751124,16,49
1538751724,11,0
1538752924,14,69
1538754124,18,77
1538755324,23,49
1538755924,23,0
1538756523,15,28
1538757723,20,63
1538758324,30,0
1538758925,27,44
1538759524,21,0
1538760123,26,0
1538761324,9,57
1538762525,30,61
1538763125,26,0
1538763725,34,53
1538764324,19,27
1538764924,19,0
1538765524,8,33
1538766125,33,80
1538766724,22,0
1538767325,32,23
1538767924,29,0
1538768524,37,69
1538769123,18,28
1538769724,42,0
1538770925,4,54
1538771526,45,34
1538772124,23,31
1538772725,23,0
1538773325,20,18
1538774524,25,91
1538775125,31,0
1538775724,10,0
1538776324,38,22
1538776924,37,29
1538778124,22,21
1538779324,32,36
1538779925,17,17
1538780524,27,70
1538781125,24,0
1538781725,13,0
1538782924,26,66
1538783524,21,32
1538784129,9,0
1538784725,36,49
1538785323,31,31
1538785924,26,0
1538786525,14,33
1538787725,12,62
1538788326,20,0
1538788924,31,29
1538790124,18,0
