DateTime,AddedIPs,RemovedIPs
1538683324,15,12
1538683925,13,0
1538684523,0,13
1538685724,1,44
1538686923,1,51
1538688723,0,31
1538689323,0,2
1538689923,0,32
1538690523,14,0
1538691723,60,52
1538692323,36,0
1538692925,21,4
1538694123,40,32
1538694724,32,0
1538695323,23,17
1538696523,9,13
1538697725,3,8
1538698324,7,6
1538698924,5,10
1538700123,26,6
1538701324,6,17
1538702523,2,0
1538703123,0,2
1538703723,0,17
1538704923,41,5
1538705522,0,16
1538706123,3,0
1538707324,48,82
1538707923,36,42
1538708524,15,41
1538709724,21,0
1538710322,61,14
1538710923,15,17
1538711522,17,22
1538712123,16,0
1538712723,18,4
1538713323,8,14
1538714523,16,12
1538715124,19,0
1538715723,10,3
1538716323,5,27
1538716923,9,10
1538717527,11,0
1538718123,35,6
1538719323,25,6
1538719923,12,3
1538720524,27,0
1538721723,30,6
1538722323,44,3
1538722924,13,32
1538723524,10,9
1538724124,3,3
1538725323,24,21
1538726523,17,48
1538727123,10,0
1538727723,3,0
1538728325,13,39
1538728923,24,0
1538730123,28,55
1538730723,12,5
1538731323,9,0
1538732523,8,17
1538733124,21,5
1538733724,0,3
1538734923,9,22
1538735524,6,0
1538736124,10,2
1538737323,13,8
1538737923,7,11
1538738523,9,10
1538739723,6,18
1538740324,25,0
1538740924,16,0
1538742123,6,30
1538742723,17,0
1538743323,7,3
1538744525,19,24
1538745124,36,0
1538745723,1,16
1538746323,16,0
1538746923,12,0
1538747523,10,6
1538748124,15,6
1538748723,6,2
1538749324,15,0
1538749923,20,3
1538750523,32,0
1538751124,15,41
1538751723,25,0
1538752924,29,8
1538754124,22,28
1538755324,38,8
1538755924,16,0
1538756523,9,8
1538757723,27,43
1538758925,23,11
1538759524,2,0
1538760123,8,0
1538761323,6,0
1538762525,26,0
1538763125,8,0
1538763725,21,0
1538764324,29,0
1538764923,10,0
1538765523,29,0
1538766125,25,1
1538766724,20,0
1538767324,2,11
1538768524,20,34
1538769123,12,39
1538769723,19,0
1538770925,19,33
1538771526,15,28
1538772123,3,8
1538773324,7,0
1538774523,16,8
1538775124,9,5
1538776324,10,26
1538776924,7,3
1538778123,7,1
1538779324,14,13
1538779924,15,7
1538780524,1,9
1538781124,13,0
1538781724,7,0
1538782924,58,5
1538783523,15,2
1538784129,1,0
1538784725,1,33
1538785323,7,14
1538785923,2,16
1538786525,0,11
1538787123,4,0
1538787725,1,20
1538788326,11,0
1538788924,3,15
1538790124,1,0
1538790724,4,52
1538791325,14,11
1538792524,43,16
1538793123,10,0
1538793723,10,11
1538794324,8,0
1538794924,20,12
1538795525,9,0
1538796124,14,1
1538797324,10,5
1538797924,4,0
1538798524,3,5
1538799723,10,5
1538800323,2,14
1538802123,32,70
1538802723,11,0
1538803324,6,11
1538804523,0,45
1538805723,1,0
1538806923,35,48
1538807522,21,0
1538808123,20,10
1538809323,37,12
1538809924,2,23
1538810523,0,23
1538811723,44,16
1538812323,16,0
1538812924,21,30
1538814123,18,44
1538814723,3,0
1538815323,3,11
1538816523,3,21
1538817723,12,2
1538818923,42,0
1538819523,7,3
1538820123,3,0
1538821323,5,16
1538822523,3,10
1538823723,3,8
1538824323,1,7
1538824923,3,9
1538826123,6,32
1538826723,23,0
1538827324,0,3
1538828523,25,15
1538829123,4,0
1538829724,0,4
1538830323,2,0
1538830923,14,6
1538831525,16,0
1538832123,5,2
1538832723,11,14
1538833323,3,15
1538834524,9,2
1538835123,9,8
1538835725,23,0
1538836923,24,20
1538838126,21,0
1538838723,20,29
1538839323,8,0
1538839923,12,18
1538840525,11,3
1538841724,41,57
1538842324,25,0
1538842924,21,19
1538843523,8,0
1538844123,2,0
1538844724,5,30
1538845324,2,23
1538845923,6,0
1538846523,3,49
1538847723,17,12
1538848923,10,33
1538849524,3,0
1538850124,9,15
1538851324,15,9
1538851923,27,9
1538852523,27,0
1538853723,40,3
1538854323,5,23
1538854923,3,2
1538855523,4,0
1538856123,0,25
1538857323,0,11
1538858524,0,3
1538859124,0,8
1538859725,2,13
1538860923,14,21
1538861524,10,15
1538862124,6,22
1538863323,13,39
1538863924,30,33
1538864523,17,24
1538865723,1,11
1538866923,14,19
1538868123,20,22
1538868723,11,55
1538869323,2,14
1538870526,12,19
1538871125,35,0
1538871724,26,5
1538872323,21,0
1538872923,23,0
1538873522,14,18
1538874123,15,0
1538874723,1,13
1538875323,0,5
1538876523,8,13
1538877123,2,0
1538877723,32,22
1538878324,12,0
1538878925,4,25
1538880123,19,49
1538880724,10,0
1538881323,80,0
1538882523,53,18
1538883723,7,34
1538884323,6,0
1538884923,4,13
1538885524,6,0
1538887324,0,5
1538887923,3,9
1538888523,3,3
1538889723,2,10
1538890923,3,28
1538891523,45,0
1538892123,37,38
1538892724,28,6
1538893323,18,16
1538893923,7,0
1538894523,11,1
1538895123,6,0
1538895724,5,0
1538896324,1,0
1538896923,1,9
1538897524,0,29
1538898123,0,14
1538899324,3,57
1538899924,1,0
1538900522,0,28
1538901723,31,0
1538902323,18,16
1538902923,5,0
1538904123,4,25
1538904723,6,0
1538905324,0,2
1538906524,11,5
1538907123,2,12
1538907723,3,5
1538908923,25,12
1538910123,9,4
1538911323,15,4
1538911923,7,11
1538912523,13,0
1538913723,19,20
1538914325,4,3
1538914923,18,8
1538916123,26,10
1538916723,6,0
1538917323,4,17
1538918524,9,0
1538919123,17,22
1538919723,14,6
1538920923,29,6
1538921523,9,13
1538922123,12,21
1538923324,24,8
1538923924,23,0
1538924523,6,4
1538925723,23,5
1538926323,7,35
1538926923,4,0
1538928123,32,32
1538928723,16,16
1538929323,13,25
1538930523,22,27
1538931123,8,57
1538931723,2,20
1538932923,23,35
1538934125,35,0
1538935323,38,36
1538936522,23,0
1538937723,12,16
1538938923,12,0
1538939524,2,7
1538940123,2,8
1538941323,4,5
1538941923,2,37
1538942523,1,0
1538943723,28,10
1538944923,16,39
1538945523,38,0
1538946123,4,29
1538947323,14,52
1538948522,10,0
1538949723,14,53
1538950923,22,23
1538951523,17,0
1538952123,7,10
1538953324,11,19
1538953924,2,23
1538954523,3,12
1538955724,16,23
1538956323,4,0
1538956924,2,0
1538957523,5,29
1538958123,5,12
1538958724,63,3
1538959323,54,31
1538959923,14,0
1538960523,0,7
1538961123,0,11
1538961724,9,14
1538962923,2,16
1538964124,45,39
1538965324,14,13
1538965923,19,7
1538966523,7,2
1538967723,11,41
1538968323,3,0
1538968924,3,8
1538969523,2,0
1538970124,1,0
1538970724,0,2
1538971322,1,0
1538971923,0,2
1538973723,6,10
1538974324,27,4
1538974923,31,9
1538975525,42,11
1538976124,12,7
1538977322,4,2
1538977923,3,9
1538978523,1,0
1538979723,15,27
1538980924,0,31
1538982124,31,28
1538982724,13,15
1538983323,3,19
1538983923,46,0
1538984523,6,8
1538985123,11,0
1538985723,5,6
1538986923,8,18
1538988123,7,51
1538988723,1,0
1538989323,8,0
1538989923,20,4
1538990523,6,8
1538991124,4,0
1538991723,6,19
1538992323,4,0
1538992924,1,26
1538993525,2,0
1538994123,9,0
1538994723,18,7
1538995324,17,8
1538995922,11,0
1538996523,17,0
1538997123,4,2
1538997723,1,0
1538998923,2,2
1538999524,1,4
1539000123,0,18
1539001323,4,5
1539001923,3,0
1539002523,17,7
1539003724,11,5
1539004323,9,8
1539004922,9,16
1539005523,11,0
1539006123,5,22
1539006723,4,0
1539007324,2,0
1539008523,6,29
1539009723,2,2
1539010924,29,12
1539012124,12,27
1539013323,0,19
1539014524,39,12
1539015123,3,22
1539015724,4,0
1539016323,2,19
1539016922,1,13
1539018124,22,45
1539019323,23,0
1539020523,3,37
1539021123,0,2
1539021723,0,8
1539022323,0,8
1539022923,1,11
1539024123,40,15
1539024725,8,9
1539025324,17,9
1539025923,13,0
1539026523,19,1
1539027722,14,1
1539028923,6,12
1539029524,0,7
1539030123,2,10
1539030723,4,19
1539031322,1,9
1539033123,4,64
1539033723,17,0
1539034923,10,6
1539035522,2,23
1539036124,8,4
1539036725,4,0
1539037324,1,7
1539038523,3,8
1539039123,1,8
1539039723,1,0
1539040924,5,26
1539042123,13,0
1539042723,24,22
1539043325,12,0
1539043924,8,17
1539044523,1,13
1539045124,5,0
