DateTime,AddedIPs,RemovedIPs
1538683925,18,18
1538684523,8,8
1538685724,3,3
1538686923,1,1
1538687524,4,4
1538688723,1,1
1538689323,13,13
1538690523,44,44
1538691723,94,94
1538692323,61,61
1538692925,36,36
1538694123,99,99
1538694724,59,59
1538695323,44,44
1538696523,44,44
1538697725,10,10
1538698324,19,19
1538698924,16,16
1538700123,49,49
1538701324,12,12
1538702523,32,32
1538703723,1,1
1538704923,69,69
1538705522,14,14
1538706123,19,19
1538707324,97,97
1538707923,92,92
1538708524,29,29
1538709724,54,54
1538710322,84,84
1538710923,29,29
1538711522,27,27
1538712123,23,23
1538712723,32,32
1538713323,16,16
1538714523,28,28
1538715124,28,28
1538715723,45,45
1538716323,23,23
1538716923,22,22
1538717527,21,21
1538718123,80,80
1538719323,47,47
1538719923,47,47
1538720524,66,66
1538721723,100,100
1538722323,96,96
1538722924,47,47
1538723524,52,52
1538724124,6,6
1538725323,64,64
1538726523,97,97
1538727123,38,38
1538727723,31,31
1538728325,40,40
1538728923,66,66
1538730123,81,81
1538730723,30,30
1538731323,84,84
1538732523,36,36
1538733124,46,46
1538733724,1,1
1538734923,60,60
1538735524,22,22
1538736124,19,19
1538737323,40,40
1538737923,21,21
1538738523,44,44
1538739723,30,30
1538740324,57,57
1538740924,54,54
1538742123,49,49
1538742723,42,42
1538743323,44,44
1538744525,68,68
1538745124,71,71
1538745723,20,20
1538746323,86,86
1538746923,38,38
1538747523,31,31
1538748124,55,55
1538748723,18,18
1538749324,64,64
1538749923,45,45
1538750523,97,97
1538751124,44,44
1538751723,96,96
1538752924,63,63
1538754124,57,57
1538755324,92,92
1538755924,76,76
1538756523,35,35
1538757723,100,100
1538758925,50,50
1538759524,2,2
1538760123,41,41
1538761323,27,27
1538762525,45,45
1538763125,36,36
1538763725,49,49
1538764324,81,81
1538764923,48,48
1538765523,56,56
1538766125,97,97
1538766724,64,64
1538767324,14,14
1538768524,100,100
1538769123,52,52
1538769723,47,47
1538770925,87,87
1538771526,92,92
1538772123,42,42
1538773324,31,31
1538774523,98,98
1538775124,30,30
1538775723,3,3
1538776324,34,34
1538776924,19,19
1538778123,30,30
1538779324,49,49
1538779924,83,83
1538780524,5,5
1538781124,40,40
1538781724,62,62
1538782924,99,99
1538783523,59,59
1538784129,5,5
1538784725,10,10
1538785323,84,84
1538785923,21,21
1538786525,5,5
1538787123,64,64
1538787725,17,17
1538788326,44,44
1538788924,20,20
1538790124,60,60
1538790724,9,9
1538791325,54,54
1538792524,88,88
1538793123,37,37
1538793723,32,32
1538794324,18,18
1538794924,54,54
1538795525,34,34
1538796124,76,76
1538797324,43,43
1538797924,24,24
1538798524,6,6
1538799723,59,59
1538800323,13,13
1538802123,62,62
1538802723,29,29
1538803324,35,35
1538803924,56,56
1538805122,2,2
1538805723,2,2
1538806923,52,52
1538807522,60,60
1538808123,67,67
1538809323,100,100
1538809924,11,11
1538811723,72,72
1538812323,38,38
1538812924,67,67
1538814123,54,54
1538814723,20,20
1538815323,8,8
1538816523,33,33
1538817123,1,1
1538817723,39,39
1538818923,74,74
1538819523,12,12
1538820123,7,7
1538821323,21,21
1538822523,41,41
1538823723,8,8
1538824323,1,1
1538824923,3,3
1538826123,12,12
1538826723,37,37
1538828523,33,33
1538829123,15,15
1538829724,2,2
1538830323,4,4
1538830923,20,20
1538831525,45,45
1538832123,19,19
1538832723,32,32
1538833323,8,8
1538834524,28,28
1538835123,20,20
1538835725,60,60
1538836923,87,87
1538838126,82,82
1538838723,53,53
1538839323,33,33
1538839923,35,35
1538840525,27,27
1538841724,100,100
1538842324,79,79
1538842924,88,88
1538843523,63,63
1538844123,18,18
1538844724,10,10
1538845324,9,9
1538845923,19,19
1538846523,20,20
1538847723,50,50
1538848923,27,27
1538849524,6,6
1538850124,35,35
1538851324,50,50
1538851923,61,61
1538852523,69,69
1538853723,94,94
1538854323,28,28
1538854923,5,5
1538855523,18,18
1538856123,3,3
1538856723,1,1
1538858524,3,3
1538859725,5,5
1538860923,66,66
1538861524,39,39
1538862124,20,20
1538863323,35,35
1538863924,94,94
1538864523,47,47
1538865723,1,1
1538866923,40,40
1538868123,60,60
1538868723,26,26
1538869323,15,15
1538870526,55,55
1538871125,93,93
1538871724,78,78
1538872323,77,77
1538872923,76,76
1538873522,58,58
1538874123,57,57
1538874723,20,20
1538875323,5,5
1538875923,8,8
1538876523,15,15
1538877123,12,12
1538877723,67,67
1538878324,38,38
1538878925,12,12
1538880123,50,50
1538880724,41,41
1538881323,94,94
1538882523,78,78
1538883723,21,21
1538884323,8,8
1538884923,11,11
1538885524,13,13
1538886123,13,13
1538887324,7,7
1538887923,8,8
1538888523,20,20
1538889723,5,5
1538890923,11,11
1538891523,99,99
1538892123,81,81
1538892724,79,79
1538893323,62,62
1538893923,17,17
1538894523,57,57
1538895123,21,21
1538895724,43,43
1538896324,1,1
1538896923,8,8
1538899324,11,11
1538899924,1,1
1538900522,3,3
1538901723,95,95
1538902323,46,46
1538902923,22,22
1538904123,13,13
1538904723,20,20
1538905324,2,2
1538906524,26,26
1538907123,13,13
1538907723,9,9
1538908923,35,35
1538910123,39,39
1538911323,75,75
1538911923,29,29
1538912523,35,35
1538913723,64,64
1538914325,20,20
1538914923,55,55
1538916123,94,94
1538916723,36,36
1538917323,16,16
1538918524,44,44
1538919123,60,60
1538919723,52,52
1538920923,82,82
1538921523,36,36
1538922123,39,39
1538923324,95,95
1538923924,64,64
1538924523,26,26
1538925723,98,98
1538926323,54,54
1538926923,37,37
1538928123,92,92
1538928723,81,81
1538929323,65,65
1538930523,82,82
1538931123,22,22
1538931723,11,11
1538932923,88,88
1538934125,87,87
1538935323,100,100
1538936522,99,99
1538937723,59,59
1538938923,42,42
1538939524,12,12
1538940123,4,4
1538941323,23,23
1538941923,12,12
1538942523,5,5
1538943723,100,100
1538944923,99,99
1538945523,90,90
1538946123,10,10
1538947323,85,85
1538948522,96,96
1538949723,77,77
1538950923,98,98
1538951523,72,72
1538952123,37,37
1538953324,77,77
1538953924,14,14
1538954523,16,16
1538955724,99,99
1538956323,54,54
1538956924,8,8
1538957523,13,13
1538958123,27,27
1538958724,89,89
1538959323,95,95
1538959923,44,44
1538960523,6,6
1538961123,7,7
1538961724,39,39
1538962923,6,6
1538964124,96,96
1538965324,99,99
1538965923,81,81
1538966523,38,38
1538967723,73,73
1538968323,10,10
1538968924,10,10
1538969523,10,10
1538970124,14,14
1538970724,6,6
1538971322,1,1
1538972524,1,1
1538973723,42,42
1538974324,90,90
1538974923,73,73
1538975525,58,58
1538976124,70,70
1538977322,69,69
1538977923,15,15
1538978523,8,8
1538979723,47,47
1538980924,17,17
1538982124,96,96
1538982724,51,51
1538983323,18,18
1538983923,98,98
1538984523,32,32
1538985123,35,35
1538985723,25,25
1538986923,53,53
1538988123,54,54
1538988723,7,7
1538989323,28,28
1538989923,81,81
1538990523,30,30
1538991124,21,21
1538991723,25,25
1538992323,37,37
1538992924,15,15
1538993525,21,21
1538994123,48,48
1538994723,71,71
1538995324,79,79
1538995922,88,88
1538996523,90,90
1538997123,76,76
1538997723,12,12
1538998923,22,22
1538999524,8,8
1539000123,17,17
1539001323,31,31
1539001923,29,29
1539002523,45,45
1539003724,95,95
1539004323,42,42
1539004922,44,44
1539005523,61,61
1539006123,42,42
1539006723,40,40
1539007324,25,25
1539008523,62,62
1539009723,36,36
1539010924,100,100
1539012124,74,74
1539013323,3,3
1539014524,82,82
1539015123,7,7
1539015724,47,47
1539016323,32,32
