DateTime,AddedIPs,RemovedIPs
1537282802,167,0
1537286402,231,0
1537290001,168,0
1537293602,168,0
1537297202,291,1
1537300803,317,0
1537304402,313,0
1537308002,169,0
1537311602,170,0
1537315202,161,4668
1537318803,177,0
1537322402,179,0
1537326002,222,0
1537329602,505,0
1537333202,175,0
1537336802,205,0
1537340402,199,0
1537344002,208,0
1537347602,244,0
1537351202,353,0
1537354802,197,0
1537358402,221,0
1537362003,238,0
1537365602,194,0
1537369202,150,0
1537372802,169,0
1537376402,147,0
1537380002,163,0
1537383603,135,0
1537387202,139,0
1537390802,267,0
1537394403,154,1
1537398003,149,0
1537401602,254,4949
1537405202,349,0
1537408802,224,0
1537412402,163,0
1537416002,145,0
1537419602,232,0
1537423202,211,0
1537426802,330,0
1537430402,260,0
1537434002,331,0
1537437602,196,0
1537441202,258,0
1537444802,216,0
1537448402,281,1
1537452002,194,0
1537455602,210,0
1537459202,365,0
1537462802,210,0
1537466402,214,0
1537470002,175,0
1537473602,161,0
1537477202,144,0
1537480803,131,0
1537484402,371,0
1537488003,450,5011
1537491602,318,0
1537495202,209,0
1537498802,287,0
1537502402,330,0
1537506002,234,0
1537509602,193,0
1537513202,195,0
1537516802,200,0
1537520402,195,0
1537524002,193,0
1537527602,278,0
1537531202,192,0
1537534802,153,0
1537538402,162,0
1537542002,160,0
1537545602,141,0
1537549203,167,0
1537552802,162,0
1537556402,139,0
1537560002,144,0
1537563602,120,0
1537567202,157,0
1537570802,151,0
1537574402,125,5931
1537578002,130,0
1537581602,177,0
1537585202,151,0
1537588802,257,0
1537592402,151,0
1537596002,156,0
1537599602,204,0
1537603202,256,0
1537606802,189,0
1537610401,171,0
1537614002,569,0
1537617602,210,0
1537621202,175,0
1537624802,127,0
1537628402,177,0
1537632002,142,0
1537635603,148,0
1537639202,117,0
1537642802,134,0
1537646402,115,0
1537650003,144,0
1537653602,142,0
1537657202,123,0
1537660801,140,4755
1537664402,161,0
1537668002,124,0
1537671603,214,0
1537675202,115,0
1537678802,140,0
1537682402,142,0
1537686002,146,0
1537689602,135,0
1537693202,144,0
1537696803,176,0
1537700402,151,0
1537704002,132,0
1537707602,144,0
1537711202,151,0
1537714802,118,0
1537718403,142,0
1537722002,158,0
1537725602,142,0
1537729203,133,0
1537732802,132,0
1537736402,130,0
1537740002,97,0
1537743602,109,0
1537747202,103,4388
1537750802,134,0
1537754402,129,0
1537758002,187,0
1537761601,137,0
1537765201,170,0
1537768802,204,0
1537772402,166,0
1537776002,205,0
1537779603,184,0
1537783202,201,0
1537786802,177,0
1537790402,220,0
1537794002,367,0
1537797602,174,0
1537801201,181,0
1537804802,186,0
1537808402,181,0
1537812002,183,0
1537815602,202,0
1537819203,165,0
1537822802,147,0
1537826402,136,0
1537830002,194,0
1537833602,140,3475
1537837202,153,0
1537840802,146,0
